,backtestReturns
477,0.000523619
478,0.001824564
479,-0.003862623
480,0.010272554
481,-0.000268614
482,0.000474874
483,-0.000691839
484,0.001001506
485,-6.46816e-05
486,-0.000952731
487,-0.002229823
488,0.0
489,-0.001577566
490,0.006564825
491,-0.000217991
492,0.001074245
493,0.000318029
494,0.001796353
495,-0.003113813
496,0.001119176
497,0.000757311
498,-0.000183087
499,0.005966711
500,-0.000990008
501,-0.000713751
502,0.001374215
503,0.000154147
504,0.004366168
505,0.013383986
506,-0.000405348
507,-0.00317905
508,0.003145017
509,0.003505484
510,0.000127362
511,-0.001381329
512,-0.00084424
513,-0.000201687
514,-0.001521077
515,-0.001363172
516,-0.00327732
517,-0.002553091
518,-7.91825e-05
519,0.000304258
520,-0.000159184
521,-0.001487291
522,0.004302816
523,-0.000212186
524,0.000301438
525,-0.000950685
526,-0.000953882
527,-0.001254697
528,-0.011509271
529,-0.000237296
530,0.003074415
531,0.004856373
532,-0.003145438
533,-0.004745567
534,0.000179537
535,0.003985881
536,0.002167048
537,-0.001981834
538,0.000568916
539,0.0018851
540,-0.001408937
541,-0.001687932
542,-0.002525959
543,-0.000526669
544,0.001643561
545,-0.000861359
546,-0.000198474
547,4.28559e-05
548,0.005647115
549,-0.007070297
550,-0.006429542
551,0.00181717
552,-0.000387597
553,0.004157877
554,0.000539572
555,0.001424823
556,1.12408e-05
557,-0.004080033
558,-0.002655586
559,-0.004921776
560,0.000780814
561,-0.000374919
562,-0.003356835
563,-0.000492613
564,-0.002596759
565,0.009434651
566,0.002771233
567,0.000899355
568,-0.00105008
569,0.002156395
570,0.001213253
571,-5.15268e-05
572,0.000330855
573,-0.002961704
574,-0.005181876
575,-0.0029956
576,-0.004684832
577,0.000268211
578,-0.009242633
579,-0.005168453
580,-0.002161288
581,-0.000276929
